t,tau,detuning,population,dP_dtau,heat_power,mutual_information
9.730000000000000426e+00,7.784000000000000696e+00,4.800035218532380799e-01,2.237684189788922973e-01,-6.702230880174998850e-03,-2.788109162733977322e-03,1.063272624970707625e+00
9.731999999999999318e+00,7.785599999999999632e+00,4.800191931297947412e-01,2.237576961041563284e-01,-6.701365127471383201e-03,-2.787664996891540698e-03,1.063245949244195021e+00
9.733999999999999986e+00,7.787200000000000344e+00,4.800348523749505825e-01,2.237469746140445248e-01,-6.700500098779172201e-03,-2.787221218418696207e-03,1.063219275638557226e+00
9.736000000000000654e+00,7.788800000000001056e+00,4.800504995975506395e-01,2.237362545073990350e-01,-6.699635793347847278e-03,-2.786777826903664729e-03,1.063192604151380838e+00
9.737999999999999545e+00,7.790399999999999991e+00,4.800661348064337863e-01,2.237255357830631730e-01,-6.698772210428506624e-03,-2.786334821935474663e-03,1.063165934780255117e+00
9.740000000000000213e+00,7.792000000000000703e+00,4.800817580104332349e-01,2.237148184398815853e-01,-6.697909349272107050e-03,-2.785892203103229429e-03,1.063139267522771769e+00
9.742000000000000881e+00,7.793600000000001415e+00,4.800973692183762020e-01,2.237041024767000841e-01,-6.697047209132009696e-03,-2.785449969997170865e-03,1.063112602376525606e+00
9.743999999999999773e+00,7.795200000000000351e+00,4.801129684390840757e-01,2.236933878923655361e-01,-6.696185789262059686e-03,-2.785008122207872569e-03,1.063085939339111885e+00
9.746000000000000441e+00,7.796800000000001063e+00,4.801285556813723043e-01,2.236826746857263071e-01,-6.695325088917592274e-03,-2.784566659326666218e-03,1.063059278408130970e+00
9.747999999999999332e+00,7.798399999999999999e+00,4.801441309540505076e-01,2.236719628556314843e-01,-6.694465107355035589e-03,-2.784125580945470257e-03,1.063032619581182558e+00
9.750000000000000000e+00,7.800000000000000711e+00,4.801596942659225320e-01,2.236612524009317926e-01,-6.693605843831425782e-03,-2.783684886656588673e-03,1.063005962855871012e+00
9.752000000000000668e+00,7.801600000000000534e+00,4.801752456257861179e-01,2.236505433204789561e-01,-6.692747297605746229e-03,-2.783244576053272613e-03,1.062979308229802244e+00
9.753999999999999559e+00,7.803200000000000358e+00,4.801907850424333435e-01,2.236398356131256981e-01,-6.691889467938028947e-03,-2.782804648729340045e-03,1.062952655700583726e+00
9.756000000000000227e+00,7.804800000000000182e+00,4.802063125246504027e-01,2.236291292777263517e-01,-6.691032354088724890e-03,-2.782365104278918151e-03,1.062926005265826923e+00
9.758000000000000895e+00,7.806400000000000894e+00,4.802218280812174944e-01,2.236184243131361105e-01,-6.690175955319651972e-03,-2.781925942296834507e-03,1.062899356923144412e+00
9.759999999999999787e+00,7.807999999999999829e+00,4.802373317209091552e-01,2.236077207182114168e-01,-6.689320270894842484e-03,-2.781487162378971402e-03,1.062872710670151877e+00
