x_k,direct_quadrature_coupling,final_mode_population,final_mode_population_density,broadened_reconstruction_weight
-1.217500000000000071e+01,4.573361595332122755e-03,2.080830063255980023e-07,4.161660126511960151e-06,1.758266594908570391e-05
-1.212500000000000000e+01,4.592171023042911256e-03,1.909583821800310736e-07,3.819167643600621155e-06,1.772770470140900057e-05
-1.207499999999999929e+01,4.611135601641531447e-03,1.670904683592501248e-07,3.341809367185002284e-06,1.787454437240514025e-05
-1.202499999999999858e+01,4.630257256131226941e-03,1.404915886101887438e-07,2.809831772203774770e-06,1.802321488236621730e-05
-1.197499999999999964e+01,4.649537943437210760e-03,1.157612176778103424e-07,2.315224353556206742e-06,1.817374677513791656e-05
-1.192499999999999893e+01,4.668979653096248274e-03,9.736879822326667333e-08,1.947375964465333467e-06,1.832617123376871471e-05
-1.187500000000000000e+01,4.688584407918526195e-03,8.893228573659491891e-08,1.778645714731898325e-06,1.848052009661892568e-05
-1.182499999999999929e+01,4.708354264684972389e-03,9.260781511059511504e-08,1.852156302211902142e-06,1.863682587394501619e-05
-1.177500000000000036e+01,4.728291314878005532e-03,1.086921569859462992e-07,2.173843139718925719e-06,1.879512176497535634e-05
-1.172499999999999964e+01,4.748397685394844733e-03,1.355091708377408177e-07,2.710183416754816354e-06,1.895544167549411530e-05
-1.167499999999999893e+01,4.768675539312314422e-03,1.696085407000758205e-07,3.392170814001516303e-06,1.911782023595046327e-05
-1.162500000000000000e+01,4.789127076661315978e-03,2.062561128434994171e-07,4.125122256869988341e-06,1.928229282011138549e-05
-1.157499999999999929e+01,4.809754535209524555e-03,2.401477487604009319e-07,4.802954975208018003e-06,1.944889556427658743e-05
-1.152500000000000036e+01,4.830560191264616360e-03,2.662403889722219933e-07,5.324807779444439653e-06,1.961766538707493884e-05
-1.147499999999999964e+01,4.851546360534881447e-03,2.805714272171583551e-07,5.611428544343166466e-06,1.978864000986279572e-05
-1.142499999999999893e+01,4.872715398958116229e-03,2.809346922329046146e-07,5.618693844658092292e-06,1.996185797774501012e-05
-1.137500000000000000e+01,4.894069703579659834e-03,2.672994892130918014e-07,5.345989784261836028e-06,2.013735868124055570e-05
-1.132499999999999929e+01,4.915611713470026400e-03,2.418961264544681607e-07,4.837922529089362580e-06,2.031518237861538483e-05
-1.127500000000000036e+01,4.937343910630281538e-03,2.089419253988689647e-07,4.178838507977379188e-06,2.049537021890607841e-05
-1.122499999999999964e+01,4.959268820937557699e-03,1.740383040944493128e-07,3.480766081888985938e-06,2.067796426565888948e-05
