a,ell,positive_heatlike_integral_over_gamma0,probability_backflow,final_population,min_Pdot,max_Pdot
1.524398776565901725e-01,2.320112708917779543e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.682047469680660912e-04,-6.097280598207034386e-01,0.000000000000000000e+00
1.524398776565901725e-01,2.464861476669807594e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.367013667856855870e-04,-6.190172784136369621e-01,0.000000000000000000e+00
1.524398776565901725e-01,2.618640928873157581e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.138192857226182205e-04,-6.282453875723831294e-01,0.000000000000000000e+00
1.524398776565901725e-01,2.782014478003976610e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.972842990029409407e-04,-6.374331062663601832e-01,0.000000000000000000e+00
1.524398776565901725e-01,2.955580687098715575e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.854700863467745905e-04,-6.465637942571503816e-01,0.000000000000000000e+00
1.524398776565901725e-01,3.139975462751139812e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.772064397093169822e-04,-6.556067174047919277e-01,0.000000000000000000e+00
1.524398776565901725e-01,3.335874384927570713e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.716430923883204604e-04,-6.645369388360712337e-01,0.000000000000000000e+00
1.524398776565901725e-01,3.543995182136195243e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.681544681114156543e-04,-6.734444761433693305e-01,0.000000000000000000e+00
1.524398776565901725e-01,3.765100361018915542e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.662736849183008524e-04,-6.822229703193728456e-01,0.000000000000000000e+00
1.524398776565901725e-01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.656470180902167922e-04,-6.909124488306465084e-01,0.000000000000000000e+00
1.626550702753624122e-01,1.000000000000000021e-02,9.186335607921073398e-01,4.857608952630969312e-02,9.665824463542426193e-01,-2.502582666993049057e-02,2.885624745417000869e-02
1.626550702753624122e-01,1.062388679306682480e-02,9.708758536552360985e-01,5.133750605250853721e-02,9.645427257515865049e-01,-2.649827930346161653e-02,3.045864208255831193e-02
1.626550702753624122e-01,1.128669705918996895e-02,1.025759360708175194e+00,5.423838334233427316e-02,9.623806164344176350e-01,-2.805177428974753306e-02,3.213731347737416172e-02
1.626550702753624122e-01,1.199085918244744732e-02,1.083358216736455715e+00,5.728262379402094401e-02,9.600889428238947865e-01,-2.969023832491515108e-02,3.389463921541434333e-02
1.626550702753624122e-01,1.273895305059274952e-02,1.143752356690397542e+00,6.047442748372292010e-02,9.576601133242473862e-01,-3.141738649297625557e-02,3.573128180980667673e-02
1.626550702753624122e-01,1.353371950716906330e-02,1.207042219421744944e+00,6.381905902883594495e-02,9.550860943314194440e-01,-3.323734773995334901e-02,3.765090639054425453e-02
1.626550702753624122e-01,1.437807039332842686e-02,1.273282435923319023e+00,6.731938299127412928e-02,9.523583821267933569e-01,-3.515415544677329834e-02,3.965243946702953770e-02
1.626550702753624122e-01,1.527509921614669981e-02,1.342542711780497333e+00,7.097904234332604034e-02,9.494679724382711905e-01,-3.717168744872205444e-02,4.173979780733372280e-02
