t,tau,detuning,population,dP_dtau,heat_power,mutual_information
6.192000000000000171e+00,4.953600000000000669e+00,4.224993251280959594e-01,9.537799770558202939e-02,-7.963921762048367659e-02,-3.679336153767980705e-02,6.296140980712403579e-01
6.193999999999999950e+00,4.955200000000000493e+00,4.225565012557592759e-01,9.525052297409375424e-02,-7.970414341091494603e-02,-3.681971154848916183e-02,6.290403576907315220e-01
6.195999999999999730e+00,4.956800000000000317e+00,4.226136387402567030e-01,9.512294474868582261e-02,-7.976858502580123911e-02,-3.684583444070866493e-02,6.284657739209154048e-01
6.198000000000000398e+00,4.958400000000001029e+00,4.226707376024856910e-01,9.499526380395457992e-02,-7.983254257119727637e-02,-3.687173033435799802e-02,6.278903488807283662e-01
6.200000000000000178e+00,4.960000000000000853e+00,4.227277978633400823e-01,9.486748091432423147e-02,-7.989601615623871667e-02,-3.689739935076646188e-02,6.273140846933545900e-01
6.201999999999999957e+00,4.961600000000000676e+00,4.227848195437103329e-01,9.473959685404191589e-02,-7.995900589313684192e-02,-3.692284161257001346e-02,6.267369834862275280e-01
6.203999999999999737e+00,4.963200000000000500e+00,4.228418026644831795e-01,9.461161239717269522e-02,-8.002151189717326973e-02,-3.694805724370811562e-02,6.261590473910312316e-01
6.206000000000000405e+00,4.964800000000000324e+00,4.228987472465419728e-01,9.448352831759485038e-02,-8.008353428669477692e-02,-3.697304636942085054e-02,6.255802785437027946e-01
6.208000000000000185e+00,4.966400000000000148e+00,4.229556533107661775e-01,9.435534538899481571e-02,-8.014507318310805373e-02,-3.699780911624594298e-02,6.250006790844349069e-01
6.209999999999999964e+00,4.967999999999999972e+00,4.230125208780319834e-01,9.422706438486228020e-02,-8.020612871087438867e-02,-3.702234561201561691e-02,6.244202511576759651e-01
6.211999999999999744e+00,4.969599999999999795e+00,4.230693499692116943e-01,9.409868607848538569e-02,-8.026670099750422838e-02,-3.704665598585362568e-02,6.238389969121330703e-01
6.214000000000000412e+00,4.971200000000000507e+00,4.231261406051742280e-01,9.397021124294586969e-02,-8.032679017355251472e-02,-3.707074036817248341e-02,6.232569185007734713e-01
6.216000000000000192e+00,4.972800000000000331e+00,4.231828928067846718e-01,9.384164065111409714e-02,-8.038639637261262016e-02,-3.709459889067007882e-02,6.226740180808255642e-01
6.217999999999999972e+00,4.974400000000000155e+00,4.232396065949045605e-01,9.371297507564421703e-02,-8.044551973131146283e-02,-3.711823168632685799e-02,6.220902978137812234e-01
6.219999999999999751e+00,4.975999999999999979e+00,4.232962819903917095e-01,9.358421528896947172e-02,-8.050416038930412188e-02,-3.714163888940281988e-02,6.215057598653969118e-01
6.222000000000000419e+00,4.977600000000000691e+00,4.233529190141003262e-01,9.345536206329707607e-02,-8.056231848926835581e-02,-3.716482063543437991e-02,6.209204064056956796e-01
6.224000000000000199e+00,4.979200000000000514e+00,4.234095176868808430e-01,9.332641617060373485e-02,-8.061999417689955094e-02,-3.718777706123149729e-02,6.203342396089679411e-01
6.225999999999999979e+00,4.980800000000000338e+00,4.234660780295800842e-01,9.319737838263048024e-02,-8.067718760090508701e-02,-3.721050830487451777e-02,6.197472616537731405e-01
6.227999999999999758e+00,4.982400000000000162e+00,4.235226000630410992e-01,9.306824947087809219e-02,-8.073389891299902199e-02,-3.723301450571116222e-02,6.191594747229409723e-01
6.230000000000000426e+00,4.984000000000000874e+00,4.235790838081032184e-01,9.293903020660213010e-02,-8.079012826789698509e-02,-3.725529580435363308e-02,6.185708810035728256e-01
6.232000000000000206e+00,4.985600000000000698e+00,4.236355292856021082e-01,9.280972136080824220e-02,-8.084587582331023703e-02,-3.727735234267531839e-02,6.179814826870432265e-01
