t,Gamma_beta,coherence,gamma_phi,bath_energy,system_entropy,Sigma_beta
1.085714285714285632e+00,5.420508483358422724e-01,5.815543487664678324e-01,8.919938126407054302e-01,2.141426148080899927e-01,5.129251504993628252e-01,2.654351298580262863e+00
1.092857142857142749e+00,5.484346895214368134e-01,5.778536231535391643e-01,8.954762940366286506e-01,2.163195507803319373e-01,5.153750983955232012e-01,2.678570606198842796e+00
1.099999999999999867e+00,5.548432894676366134e-01,5.741622314155595541e-01,8.989262866426828147e-01,2.184976294115902884e-01,5.177983835086242825e-01,2.702774677624527389e+00
1.107142857142857206e+00,5.612764165650542258e-01,5.704804282578050945e-01,9.023439177862461191e-01,2.206767128364928998e-01,5.201951252109972001e-01,2.726962253575926365e+00
1.114285714285714324e+00,5.677338401217759678e-01,5.668084629788264772e-01,9.057293170231126567e-01,2.228566647255712518e-01,5.225654471041762950e-01,2.751132094359888924e+00
1.121428571428571441e+00,5.742153303790712426e-01,5.631465794988741447e-01,9.090826160787964794e-01,2.250373502886925114e-01,5.249094768679489764e-01,2.775282979754874368e+00
1.128571428571428559e+00,5.807206585266810883e-01,5.594950163897901563e-01,9.124039487902623202e-01,2.272186362779822222e-01,5.272273461117302773e-01,2.799413708891552499e+00
1.135714285714285676e+00,5.872495967176935006e-01,5.558540069063140354e-01,9.156934510480947420e-01,2.294003909902481153e-01,5.295191902282702090e-01,2.823523100130751473e+00
1.142857142857142794e+00,5.938019180830074184e-01,5.522237790187536355e-01,9.189512607391264742e-01,2.315824842689149787e-01,5.317851482497083504e-01,2.847609990938857916e+00
1.149999999999999911e+00,6.003773967453872595e-01,5.486045554469728414e-01,9.221775176895335990e-01,2.337647875054791602e-01,5.340253627059774466e-01,2.871673237760769215e+00
1.157142857142857029e+00,6.069758078331141116e-01,5.449965536956459244e-01,9.253723636084124626e-01,2.359471736404925857e-01,5.362399794855665647e-01,2.895711715890492588e+00
