t,tau,population,population_rate,gamma,heat_power,mutual_information,mutual_information_rate,interaction_energy,bath_energy
4.134000000000000341e+00,3.307200000000000362e+00,9.963724436912159421e-03,-1.553414656016067520e-02,1.559070271214248349e+00,-2.464647693235092613e-02,1.116695545094072289e-01,-1.428765757048076623e-01,1.317216648563775648e-02,1.810549243485303439e+00
4.136000000000000121e+00,3.308800000000000185e+00,9.932722622534964282e-03,-1.546770609360051396e-02,1.557247361212725334e+00,-2.453796894688785660e-02,1.113843152694973110e-01,-1.423628574208858077e-01,1.314360298743499043e-02,1.810626991362015437e+00
4.137999999999999901e+00,3.310400000000000009e+00,9.901853429104606405e-03,-1.540152550418264106e-02,1.555418449127190517e+00,-2.442989975473450551e-02,1.111001020257793848e-01,-1.418505794858482549e-01,1.311507118077169520e-02,1.810704490970217240e+00
4.139999999999999680e+00,3.311999999999999833e+00,9.871116337597990453e-03,-1.533560406089342319e-02,1.553583559995317165e+00,-2.432226804057696992e-02,1.108169118982359758e-01,-1.413397412171358836e-01,1.308657113033365876e-02,1.810781743121494092e+00
4.142000000000000348e+00,3.313600000000000545e+00,9.840510830453109287e-03,-1.526994103365526302e-02,1.551742719127941150e+00,-2.421507249117051466e-02,1.105347420082294640e-01,-1.408303419181715643e-01,1.305810290036390695e-02,1.810858748625244985e+00
4.144000000000000128e+00,3.315200000000000369e+00,9.810036391567168723e-03,-1.520453569332966617e-02,1.549895952108768737e+00,-2.410831179534351706e-02,1.102535894785286186e-01,-1.403223808783990723e-01,1.302966655466371478e-02,1.810935508288686435e+00
4.145999999999999908e+00,3.316800000000000193e+00,9.779692506294708834e-03,-1.513938731172027180e-02,1.548043284794055729e+00,-2.400198464400131806e-02,1.099734514333376018e-01,-1.398158573733220000e-01,1.300126215659344261e-02,1.811012022916856257e+00
4.147999999999999687e+00,3.318400000000000016e+00,9.749478661445732178e-03,-1.507449516157596640e-02,1.546184743312274401e+00,-2.389608973013022247e-02,1.096943249983234336e-01,-1.393107706645432264e-01,1.297288976907341740e-02,1.811088293312615116e+00
4.150000000000000355e+00,3.320000000000000284e+00,9.719394345283778255e-03,-1.500985851659391440e-02,1.544320354063756229e+00,-2.379062574880135353e-02,1.094162073006439972e-01,-1.388071199998044403e-01,1.294454945458486245e-02,1.811164320276652084e+00
4.152000000000000135e+00,3.321600000000000108e+00,9.689439047524050011e-03,-1.494547665142255573e-02,1.542450143720299760e+00,-2.368559139717446582e-02,1.091390954689751558e-01,-1.383049046130254423e-01,1.291624127517082554e-02,1.811240104607485524e+00
4.153999999999999915e+00,3.323199999999999932e+00,9.659612259331495226e-03,-1.488134884166459823e-02,1.540574139224764272e+00,-2.358098537450172352e-02,1.088629866335389662e-01,-1.378041237243434192e-01,1.288796529243703241e-02,1.811315647101468196e+00
4.155999999999999694e+00,3.324799999999999756e+00,9.629913473318905265e-03,-1.481747436388002569e-02,1.538692367790637228e+00,-2.347680638213151330e-02,1.085878779261306715e-01,-1.373047765401531617e-01,1.285972156755277665e-02,1.811390948552789260e+00
4.158000000000000362e+00,3.326400000000000468e+00,9.600342183544980854e-03,-1.475385249558898090e-02,1.536804856901573091e+00,-2.337305312351206296e-02,1.083137664801470668e-01,-1.368068622531457834e-01,1.283151016125184604e-02,1.811466009753478934e+00
4.160000000000000142e+00,3.328000000000000291e+00,9.570897885512434297e-03,-1.469048251527479629e-02,1.534911634310917705e+00,-2.326972430419527865e-02,1.080406494306125342e-01,-1.363103800423496048e-01,1.280333113383351137e-02,1.811540831493410719e+00
4.161999999999999922e+00,3.329600000000000115e+00,9.541580076166032709e-03,-1.462736370238678155e-02,1.533012728041192707e+00,-2.316681863184018655e-02,1.077685239142072288e-01,-1.358153290731688445e-01,1.277518454516330358e-02,1.811615414560304949e+00
4.163999999999999702e+00,3.331199999999999939e+00,9.512388253890681142e-03,-1.456449533734320914e-02,1.531108166383574165e+00,-2.306433481621670764e-02,1.074973870692943756e-01,-1.353217084974242257e-01,1.274707045467398693e-02,1.811689759739731453e+00
4.166000000000000369e+00,3.332800000000000651e+00,9.483321918509474494e-03,-1.450187670153411067e-02,1.529197977897329475e+00,-2.296227156920910978e-02,1.072272360359466936e-01,-1.348295174533926111e-01,1.271898892136644373e-02,1.811763867815115336e+00
4.168000000000000149e+00,3.334400000000000475e+00,9.454380571281756351e-03,-1.443950707732417210e-02,1.527282191409243151e+00,-2.286062760481962983e-02,1.069580679559744008e-01,-1.343387550658472207e-01,1.269094000381070474e-02,1.811837739567736527e+00
4.169999999999999929e+00,3.336000000000000298e+00,9.425563714901167428e-03,-1.437738574805554059e-02,1.525360836013010424e+00,-2.275940163917191880e-02,1.066898799729509850e-01,-1.338494204460977943e-01,1.266292376014669166e-02,1.811911375776736666e+00
4.171999999999999709e+00,3.337600000000000122e+00,9.396870853493667977e-03,-1.431551199805060869e-02,1.523433941068609743e+00,-2.265859239051450438e-02,1.064226692322410295e-01,-1.333615126920306149e-01,1.263494024808520418e-02,1.811984777219120213e+00
4.174000000000000377e+00,3.339200000000000390e+00,9.368301492615605311e-03,-1.425388511261476386e-02,1.521501536201640414e+00,-2.255819857922412505e-02,1.061564328810266494e-01,-1.328750308881484765e-01,1.260698952490886711e-02,1.812057944669758447e+00
4.176000000000000156e+00,3.340800000000000214e+00,9.339855139251729277e-03,-1.419250437803929246e-02,1.519563651302662244e+00,-2.245821892780937648e-02,1.058911680683348178e-01,-1.323899741056124013e-01,1.257907164747307759e-02,1.812130878901392128e+00
4.177999999999999936e+00,3.342400000000000038e+00,9.311531301813214673e-03,-1.413136908160391239e-02,1.517620316526470781e+00,-2.235865216091371260e-02,1.056268719450627058e-01,-1.319063414022801362e-01,1.255118667220683770e-02,1.812203580684637494e+00
4.179999999999999716e+00,3.343999999999999861e+00,9.283329490135685397e-03,-1.407047851157966663e-02,1.515671562291387886e+00,-2.225949700531903303e-02,1.053635416640056749e-01,-1.314241318227484245e-01,1.252333465511371556e-02,1.812276050787985593e+00
4.182000000000000384e+00,3.345600000000000573e+00,9.255249215477229924e-03,-1.400983195723148021e-02,1.513717419278491905e+00,-2.216075218994875348e-02,1.051011743798827835e-01,-1.309433443983923362e-01,1.249551565177278549e-02,1.812348289977808724e+00
4.184000000000000163e+00,3.347200000000000397e+00,9.227289990516415047e-03,-1.394942870882097917e-02,1.511757918430857162e+00,-2.206241644587125794e-02,1.048397672493632249e-01,-1.304639781474070948e-01,1.246772971733954745e-02,1.812420299018362657e+00
4.185999999999999943e+00,3.348800000000000221e+00,9.199451329350277068e-03,-1.388926805760901627e-02,1.509793090952736616e+00,-2.196448850630289620e-02,1.045793174310939294e-01,-1.299860320748480180e-01,1.243997690654686898e-02,1.812492078671789519e+00
