a,m,c_m,ell_linear,ell_profile,tau_linear,tau_profile,ell_difference,normalized_difference,K_m,normalized_minus_K_m
2.000000000000000367e-04,3.000000000000000000e+00,2.500000000000000000e-01,1.938978284534875085e+00,1.938978203734235350e+00,1.772033098970686282e+01,1.772031916550914943e+01,-8.080063973459061799e-08,3.156274989632445127e+00,3.434802200544679440e+00,-2.785272109122343132e-01
2.000000000000000367e-04,2.000000000000000000e+00,-5.000000000000000000e-01,1.938978284534875085e+00,1.939025399753956602e+00,1.772033098970686282e+01,1.772720862035659906e+01,4.711521908151716787e-05,2.476188676846323933e+00,2.647166369332992542e+00,-1.709776924866686088e-01
1.261914688960386131e-04,3.000000000000000000e+00,-3.333333333333333148e-01,1.951367817382444914e+00,1.951367860636953111e+00,1.985646342975924483e+01,1.985647233880002105e+01,4.325450819742115982e-08,3.183117546173502177e+00,3.434802200544679440e+00,-2.516846543711772632e-01
1.261914688960386131e-04,3.000000000000000000e+00,-3.333333333333333148e-01,1.951367817382444914e+00,1.951367860636892937e+00,1.985646342975924483e+01,1.985647233878740536e+01,4.325444802333322514e-08,3.183113117936929637e+00,3.434802200544679440e+00,-2.516890826077498033e-01
1.261914688960386131e-04,3.000000000000000000e+00,-5.000000000000000000e-01,1.951367817382444914e+00,1.951367882264140707e+00,1.985646342975924483e+01,1.985647679331526305e+01,6.488169579377256468e-08,3.183114283549016044e+00,3.434802200544679440e+00,-2.516879169956633966e-01
1.261914688960386131e-04,3.000000000000000000e+00,2.500000000000000000e-01,1.951367817382444914e+00,1.951367784941378858e+00,1.985646342975924483e+01,1.985645674793346060e+01,-3.244106605571062119e-08,3.183135689415843128e+00,3.434802200544679440e+00,-2.516665111288363121e-01
1.261914688960386131e-04,2.000000000000000000e+00,-5.000000000000000000e-01,1.951367817382444914e+00,1.951394498656456644e+00,1.985646342975924483e+01,1.986194798794846861e+01,2.668127401173059354e-05,2.493613160929423866e+00,2.647166369332992542e+00,-1.535532084035686751e-01
7.962143411069938915e-05,3.000000000000000000e+00,-3.333333333333333148e-01,1.961257194618162503e+00,1.961257211969999359e+00,2.225943676067274879e+01,2.225944179250897648e+01,1.735183685624974714e-08,3.207500655665888711e+00,3.434802200544679440e+00,-2.273015448787907289e-01
7.962143411069938915e-05,3.000000000000000000e+00,-3.333333333333333148e-01,1.961257194618162503e+00,1.961257211969986702e+00,2.225943676067274879e+01,2.225944179250531008e+01,1.735182419970726642e-08,3.207498316094082202e+00,3.434802200544679440e+00,-2.273038844505972378e-01
7.962143411069938915e-05,3.000000000000000000e+00,-5.000000000000000000e-01,1.961257194618162503e+00,1.961257220645937105e+00,2.225943676067274879e+01,2.225944430843950173e+01,2.602777460225524919e-08,3.207503036282815412e+00,3.434802200544679440e+00,-2.272991642618640284e-01
