t,Gamma_beta,coherence,gamma_phi,bath_energy,system_entropy,Sigma_beta
4.500000000000000111e-01,1.662152570694026277e-01,8.468639211221717922e-01,7.307283028451515561e-01,4.318329482167693883e-02,2.703062491683579927e-01,7.021391973851274226e-01
4.571428571428571286e-01,1.714743732677487253e-01,8.424218562627580065e-01,7.418204767749614348e-01,4.451483859030899715e-02,2.758018571964105381e-01,7.209502430995005096e-01
4.642857142857142461e-01,1.768126384830599196e-01,8.379367669200545876e-01,7.528899839179493680e-01,4.586429728089717189e-02,2.812817357164054677e-01,7.399247085253771727e-01
4.714285714285714191e-01,1.822298898783103194e-01,8.334097259309869443e-01,7.639365641167360499e-01,4.723153987806293086e-02,2.867443827809004198e-01,7.590597815615297561e-01
4.785714285714285365e-01,1.877259627718667057e-01,8.288418096260751211e-01,7.749599610422938101e-01,4.861643420782135044e-02,2.921883391194192714e-01,7.783526811976327897e-01
4.857142857142857095e-01,1.933006906649103185e-01,8.242340973750799105e-01,7.859599222150752684e-01,5.001884697089512694e-02,2.976121876539394862e-01,7.978006573628907416e-01
4.928571428571428270e-01,1.989539052690043885e-01,8.195876711354683763e-01,7.969361990248101657e-01,5.143864377607250404e-02,3.030145530216822869e-01,8.174009907824073551e-01
5.000000000000000000e-01,2.046854365337987258e-01,8.149036150039699056e-01,8.078885467489780314e-01,5.287568917359473236e-02,3.083941011039799118e-01,8.371509928399272216e-01
5.071428571428571175e-01,2.104951126748614565e-01,8.101830147714865760e-01,8.188167245699625729e-01,5.432984668855799643e-02,3.137495385601031250e-01,8.570480054456830477e-01
5.142857142857142350e-01,2.163827602016285268e-01,8.054269574816206312e-01,8.297204955908908941e-01,5.580097885431561239e-02,3.190796123650423421e-01,8.770894009081984244e-01
5.214285714285714635e-01,2.223482039454617032e-01,8.006365309930690843e-01,8.405996268501713109e-01,5.728894724586642423e-02,3.243831093503399821e-01,8.972725818090042660e-01
5.285714285714285809e-01,2.283912670878054663e-01,7.958128235461346955e-01,8.514538893347306514e-01,5.879361251321477133e-02,3.296588557471555880e-01,9.175949808793033569e-01
5.357142857142856984e-01,2.345117711884347478e-01,7.909569233335920213e-01,8.622830579919676941e-01,6.031483441468871859e-02,3.349057167308391314e-01,9.380540608777263589e-01
5.428571428571428159e-01,2.407095362137824934e-01,7.860699180761425708e-01,8.730869117404235213e-01,6.185247185020238680e-02,3.401225959663574661e-01,9.586473144683813619e-01
5.499999999999999334e-01,2.469843805653392232e-01,7.811528946026866649e-01,8.838652334791854415e-01,6.340638289444935904e-02,3.453084351539951191e-01,9.793722640984886540e-01
5.571428571428571619e-01,2.533361211081158748e-01,7.762069384356299340e-01,8.946178100960328061e-01,6.497642483001341007e-02,3.504622135748194367e-01,1.000226461874953454e+00
5.642857142857142794e-01,2.597645731991589102e-01,7.712331333814396173e-01,9.053444324743339378e-01,6.656245418038386763e-02,3.555829476354541163e-01,1.021207489439292848e+00
5.714285714285713969e-01,2.662695507161123576e-01,7.662325611266525005e-01,9.160448954987101544e-01,6.816432674286296289e-02,3.606696904117748792e-01,1.042312957840404675e+00
5.785714285714285143e-01,2.728508660858136592e-01,7.612063008395366648e-01,9.267189980594738863e-01,6.978189762135186824e-02,3.657215311911752309e-01,1.063540507404693969e+00
5.857142857142857428e-01,2.795083303129189400e-01,7.561554287775950067e-01,9.373665430558600908e-01,7.141502125900400788e-02,3.707375950131210351e-01,1.084887807603161169e+00
5.928571428571428603e-01,2.862417530085452078e-01,7.510810179010947163e-01,9.479873373980561846e-01,7.306355147073287370e-02,3.757170422077378280e-01,1.106352556915066510e+00
