t,tau,population,population_rate,gamma,heat_power,mutual_information,mutual_information_rate,interaction_energy,bath_energy
9.739999999999999769e-01,7.792000000000000037e-01,2.407945142079952194e-01,-5.096650185953063295e-01,2.116597299866492143e+00,-9.696886643794299099e-01,1.103988038461873877e+00,-1.170525774787982254e+00,8.611414603229687881e-01,6.159362308055524871e-01
9.759999999999999787e-01,7.808000000000000496e-01,2.397800905871425858e-01,-5.047578767074132333e-01,2.105086687853971572e+00,-9.602513846481829374e-01,1.101652620837622276e+00,-1.164865622033830261e+00,8.619860955909525169e-01,6.170215364762409171e-01
9.779999999999999805e-01,7.823999999999999844e-01,2.387754906672167055e-01,-4.998413355188436880e-01,2.093352773025924041e+00,-9.507981884239444792e-01,1.099328692423490406e+00,-1.159036679675985670e+00,8.628178549229372774e-01,6.181008275719310774e-01
9.799999999999999822e-01,7.840000000000000302e-01,2.377807330714455381e-01,-4.949155704237964137e-01,2.081394754027821481e+00,-9.413294149460607052e-01,1.097016589998410563e+00,-1.153039752148010688e+00,8.636367207746100672e-01,6.191740901431748156e-01
9.819999999999999840e-01,7.856000000000000760e-01,2.367958360720615607e-01,-4.899807570229099962e-01,2.069211879527304454e+00,-9.318454037061701944e-01,1.094716648705364337e+00,-1.146875670992323570e+00,8.644426760487801120e-01,6.202413104721328230e-01
9.839999999999999858e-01,7.872000000000000108e-01,2.358208175898956760e-01,-4.850370711169738613e-01,2.056803449644881709e+00,-9.223464944360374451e-01,1.092429201997038080e+00,-1.140545294984289804e+00,8.652357040956195622e-01,6.213024750728284307e-01
9.859999999999999876e-01,7.888000000000000567e-01,2.348556951939818338e-01,-4.800846887006354757e-01,2.044168817384240278e+00,-9.128330270953882719e-01,1.090154581581236792e+00,-1.134049510249785175e+00,8.660157887128865362e-01,6.223575706913917482e-01
9.879999999999999893e-01,7.903999999999999915e-01,2.339004861011774739e-01,-4.751237859561052157e-01,2.031307390060671736e+00,-9.033053418597472017e-01,1.087893117366075746e+00,-1.127389230375956286e+00,8.667829141461400599e-01,6.234065843062870371e-01
9.899999999999999911e-01,7.920000000000000373e-01,2.329552071757928777e-01,-4.701545392468562401e-01,2.018218630726154039e+00,-8.937637791082737593e-01,1.085645137404947169e+00,-1.120565396514954015e+00,8.675370650889268065e-01,6.244495031285489661e-01
9.919999999999999929e-01,7.936000000000000831e-01,2.320198749292363138e-01,-4.651771251113249184e-01,2.004902059589503516e+00,-8.842086794116064130e-01,1.083410967841298200e+00,-1.113578977480354837e+00,8.682782266829670581e-01,6.254863146019878917e-01
