a,profile_index,ell_critical,tau_tangent,tau_match,x_match,delta_match,max_real_q_after_local_layer,time_of_remote_max,entry_error,entry_error_over_a_2_3,u_min,slow_branch_margin_min,forcing_max,tube_discriminant,certified_radius,tube_certified
2.154434690031884489e-04,0.000000000000000000e+00,1.936702756845554818e+00,1.739839955922046855e+01,2.791140152158307615e+02,9.621326669681168342e-02,5.994842503189411892e-02,-7.408352562379129091e-01,3.645668239879197614e+01,6.939933295324813341e-04,1.931077664159632223e-01,2.627663694395753202e-01,4.731914512949598195e-01,3.564667242599549595e-04,6.762029801141557217e-02,1.363668865997869073e-03,1.000000000000000000e+00
2.154434690031884489e-04,1.000000000000000000e+00,1.936702756845163576e+00,1.739839955916589531e+01,2.791124256142729791e+02,9.621271874597338292e-02,5.994842503189411892e-02,-7.408352584462104540e-01,3.645666254774022974e+01,6.940128048684571834e-04,1.931131855438862899e-01,2.627663694391718097e-01,3.695568722552780017e-01,3.564768626764270318e-04,6.762025745753760808e-02,1.363707854062395919e-03,1.000000000000000000e+00
2.154434690031884489e-04,2.000000000000000000e+00,1.936702819260989639e+00,1.739840820269888155e+01,2.795448406412342024e+02,9.636177633550560562e-02,5.994842503189411892e-02,-7.408337586973771094e-01,3.646206848913094944e+01,6.908133625005182920e-04,1.922229216996134693e-01,2.627664338265982558e-01,4.731914611708012419e-01,3.548231876244915600e-04,6.762690599545007064e-02,1.357348337609476374e-03,1.000000000000000000e+00
2.154434690031884489e-04,3.000000000000000000e+00,1.936754275339829467e+00,1.740551556796951971e+01,2.925205858327168471e+02,1.008346396266327355e-01,5.994842503189411892e-02,-7.403794346873587839e-01,3.648853343826220907e+01,6.334789019313250176e-04,1.762692674668852599e-01,2.628195251029178947e-01,4.731996026917668074e-01,3.252892926853721226e-04,6.777294560458180239e-02,1.243574925234552930e-03,1.000000000000000000e+00
1.000000000000000048e-04,0.000000000000000000e+00,1.956642061584180636e+00,2.103507196733887241e+01,4.650150517304858795e+02,7.440240827687774616e-02,4.641588833612779463e-02,-7.457502483974557395e-01,4.380756770854591053e+01,4.323616870731774621e-04,2.006845178800842067e-01,2.391698923667061882e-01,4.763091337019524918e-01,1.938482351433362173e-04,5.642684447412847637e-02,8.132697679209544006e-04,1.000000000000000000e+00
1.000000000000000048e-04,1.000000000000000000e+00,1.956642061584153103e+00,2.103507196733226436e+01,4.650141034820825894e+02,7.440225655713321451e-02,4.641588833612779463e-02,-7.457502501686759100e-01,4.380755817454763701e+01,4.323660516235220265e-04,2.006865437248985251e-01,2.391698923666723542e-01,3.727487004543799110e-01,1.938502101553740285e-04,5.642683657406413755e-02,8.132780822438373525e-04,1.000000000000000000e+00
1.000000000000000048e-04,2.000000000000000000e+00,1.956642075219273247e+00,2.103507530542720971e+01,4.654442025532919160e+02,7.447107240852671173e-02,4.641588833612779463e-02,-7.457494293698752053e-01,4.381188470028257598e+01,4.311726552218123651e-04,2.001326181836735885e-01,2.391699090505103598e-01,4.763091358084268201e-01,1.933129293408705979e-04,5.642899367786591291e-02,8.110162245215518650e-04,1.000000000000000000e+00
1.000000000000000048e-04,3.000000000000000000e+00,1.956662048110807905e+00,2.103995626722373657e+01,4.822982346065890056e+02,7.716771753705424508e-02,4.641588833612779463e-02,-7.455033495461597104e-01,4.378813209590181543e+01,4.025394234760668109e-04,1.868422493095436565e-01,2.391943499584531785e-01,4.763122213666221016e-01,1.804527540981350100e-04,5.649212603565442747e-02,7.568135319741403633e-04,1.000000000000000000e+00
4.641588833612781789e-05,0.000000000000000000e+00,1.970330772073076719e+00,2.545789956773360174e+01,7.751187128833184943e+02,5.756451779909636801e-02,3.593813663804628494e-02,-7.484705614717490629e-01,5.272562127470214222e+01,2.677348185411796561e-04,2.072973465856569053e-01,2.167471286827968024e-01,4.784063188312114301e-01,1.048733810710602427e-04,4.655982426795263196e-02,4.849362706505627729e-04,1.000000000000000000e+00
4.641588833612781789e-05,1.000000000000000000e+00,1.970330772073074055e+00,2.545789956773254659e+01,7.751181461005201072e+02,5.756447570673303704e-02,3.593813663804628494e-02,-7.484705588350070160e-01,5.272561692424098823e+01,2.677357907631126616e-04,2.072980993417911366e-01,2.167471286827928056e-01,3.749158510432865077e-01,1.048737643306481542e-04,4.655982273491255513e-02,4.849380468321673465e-04,1.000000000000000000e+00
